sample_id,altura_t1_cm,temp_t1_c,precipitacao_t1_mm,umidade_t1_pct,altura_t2_cm,temp_t2_c,precipitacao_t2_mm,umidade_t2_pct,temp_futuro_2d_c,precipitacao_futuro_2d_mm,umidade_futuro_2d_pct,crescimento_passado_2d_cm,crescimento_futuro_2d_cm
S05875,56.136,18.69,0.0,75.41,56.361,22.16,0.0,83.72,23.82,0.0,67.66,0.225,0.277
S05942,44.668,20.46,10.5,78.97,44.983,21.46,0.0,64.59,23.57,0.0,61.76,0.315,0.379
S08979,71.282,26.12,0.0,77.22,71.673,28.05,0.66,79.75,22.03,19.0,70.24,0.391,0.263
S06531,63.229,23.4,0.0,70.35,63.439,24.64,0.0,75.38,21.68,14.75,59.94,0.21,0.312
S02067,60.673,20.02,0.0,80.55,60.909,20.25,4.41,78.57,21.07,9.55,61.84,0.236,0.3
S01834,62.34,22.26,4.83,61.0,62.419,19.1,0.0,71.17,22.59,26.21,64.87,0.079,0.446
S06624,56.154,17.06,4.65,54.07,56.323,23.16,8.45,64.74,22.28,5.72,65.5,0.169,0.29
S07593,67.233,19.04,0.0,64.54,67.397,23.72,0.78,77.61,23.2,10.28,83.1,0.164,0.336
S04015,52.605,21.92,0.0,58.28,52.89,32.2,0.0,82.77,20.56,3.0,79.68,0.285,0.206
S03761,53.836,29.47,0.0,75.01,54.141,16.54,0.0,69.61,24.66,0.0,68.63,0.305,0.252
S06521,80.33,20.93,0.0,62.59,80.458,25.91,0.0,74.52,23.58,2.27,78.23,0.128,0.206
S08931,58.376,26.13,0.0,63.27,58.665,21.95,3.21,77.08,27.11,4.17,71.45,0.289,0.364
S03863,63.924,25.7,0.0,78.57,64.046,16.88,0.0,59.25,23.85,4.83,72.45,0.122,0.237
S08790,53.758,22.31,0.0,83.33,54.462,25.54,0.0,70.25,20.83,0.0,73.1,0.704,0.235
S04815,68.73,23.49,6.44,63.99,69.003,25.05,19.82,71.3,22.78,2.49,67.07,0.273,0.205
S01243,70.94,19.13,3.86,82.52,71.093,18.11,0.0,81.84,25.07,0.0,70.85,0.153,0.173
S06534,52.136,18.85,17.31,74.79,52.587,17.2,0.67,70.84,22.43,16.97,75.95,0.451,0.399
S04167,73.698,22.64,0.0,75.67,73.805,27.59,10.83,76.0,24.59,10.44,64.22,0.107,0.207
S01997,58.444,19.15,0.0,58.89,58.675,27.04,0.0,68.61,23.55,38.11,89.95,0.231,0.711
S09270,52.909,18.05,0.0,57.26,53.104,15.25,0.0,67.61,23.67,0.0,69.36,0.195,0.292
S08642,52.226,22.4,7.14,63.04,52.599,20.34,0.0,67.88,23.18,8.25,67.41,0.373,0.333
S03794,66.258,24.94,0.0,73.3,66.49,19.31,0.0,58.06,19.54,2.54,59.2,0.232,0.095
