sample_id,altura_t1_cm,temp_t1_c,precipitacao_t1_mm,umidade_t1_pct,altura_t2_cm,temp_t2_c,precipitacao_t2_mm,umidade_t2_pct,temp_futuro_2d_c,precipitacao_futuro_2d_mm,umidade_futuro_2d_pct,crescimento_passado_2d_cm,crescimento_futuro_2d_cm,data_previsao,altura_real_d4_cm,crescimento_real_2d_cm,crescimento_previsto_2d_cm,erro_absoluto_cm,baseline_previsto_2d_cm,model_version,erro_absoluto_baseline_cm
REAL001,8.141,26.71,0.0,62.12,9.68,23.57,0.0,56.16,27.1,0.25,65.77,1.539,,2026-08-09,10.72,1.04,1.2233,0.1833,1.539,2.2.0,0.499
REAL002,10.399,22.01,17.04,78.73,12.102,23.54,0.0,75.93,21.43,1.67,86.37,1.703,,2026-08-09,13.179,1.077,1.1415,0.0645,1.703,2.2.0,0.626
REAL003,12.387,26.77,0.0,65.63,13.542,27.5,0.0,73.23,24.12,1.0,65.51,1.155,,2026-08-09,14.706,1.164,0.9832,0.1808,1.155,2.2.0,0.009
REAL004,13.567,28.54,0.0,62.03,14.484,27.76,0.0,65.2,31.96,3.59,65.33,0.917,,2026-08-09,15.47,0.986,1.2869,0.3009,0.917,2.2.0,0.069
REAL005,14.651,22.9,35.0,89.75,16.099,23.92,17.53,84.22,26.76,13.38,86.18,1.448,,2026-08-09,17.188,1.089,1.3361,0.2471,1.448,2.2.0,0.359
REAL006,6.825,17.31,3.08,71.88,7.863,17.03,0.0,69.37,16.4,0.0,69.74,1.038,,2026-08-09,8.608,0.745,0.8483,0.1033,1.038,2.2.0,0.293
REAL007,14.977,26.78,0.0,61.77,15.985,27.61,0.0,47.92,25.09,0.0,51.61,1.008,,2026-08-09,17.033,1.048,0.8515,0.1965,1.008,2.2.0,0.04
REAL008,11.324,20.63,9.9,86.93,12.33,23.05,0.0,78.45,24.38,10.6,85.4,1.006,,2026-08-09,13.582,1.252,1.3166,0.0646,1.006,2.2.0,0.246
REAL009,12.935,24.42,1.18,63.78,13.898,26.2,0.0,69.71,24.42,0.78,70.78,0.963,,2026-08-09,15.122,1.224,1.0367,0.1873,0.963,2.2.0,0.261
REAL010,12.629,31.97,0.0,70.55,14.133,28.34,0.0,61.59,27.4,0.0,67.04,1.504,,2026-08-09,15.204,1.071,1.1196,0.0486,1.504,2.2.0,0.433
