sample_id,altura_t1_cm,temp_t1_c,precipitacao_t1_mm,umidade_t1_pct,altura_t2_cm,temp_t2_c,precipitacao_t2_mm,umidade_t2_pct,temp_futuro_2d_c,precipitacao_futuro_2d_mm,umidade_futuro_2d_pct,crescimento_passado_2d_cm,crescimento_futuro_2d_cm,data_previsao,altura_real_d4_cm,crescimento_real_2d_cm,crescimento_previsto_2d_cm,erro_absoluto_cm,baseline_previsto_2d_cm,model_version,erro_absoluto_baseline_cm
REAL001,63.391,18.81,13.71,74.77,63.555,20.38,14.79,67.19,17.07,9.02,77.79,0.164,,2026-08-09,63.899,0.344,0.2169,0.1271,0.164,2.3.0,0.18
REAL002,57.734,22.52,8.0,89.18,58.23,22.79,35.0,77.56,19.76,35.51,89.33,0.496,,2026-08-09,58.834,0.604,0.5711,0.0329,0.496,2.3.0,0.108
REAL003,73.597,23.1,0.0,72.29,73.888,22.98,0.0,67.98,25.2,2.2,61.84,0.291,,2026-08-09,74.154,0.266,0.1672,0.0988,0.291,2.3.0,0.025
REAL004,44.834,27.57,0.0,58.37,45.044,29.34,0.0,52.29,29.53,0.0,53.64,0.21,,2026-08-09,45.339,0.295,0.3543,0.0593,0.21,2.3.0,0.085
REAL005,75.757,24.78,0.0,88.32,76.076,23.57,0.0,78.21,23.63,6.12,95.73,0.319,,2026-08-09,76.227,0.151,0.2766,0.1256,0.319,2.3.0,0.168
REAL006,58.78,21.06,0.0,67.51,58.973,18.31,3.97,77.77,19.63,0.0,57.93,0.193,,2026-08-09,59.299,0.326,0.1322,0.1938,0.193,2.3.0,0.133
REAL007,66.107,27.95,0.0,62.94,66.177,24.79,0.0,64.56,29.9,2.0,55.62,0.07,,2026-08-09,66.436,0.259,0.2583,0.0007,0.07,2.3.0,0.189
REAL008,50.308,23.22,1.52,75.78,50.862,21.43,2.48,87.28,20.35,13.12,77.18,0.554,,2026-08-09,51.181,0.319,0.4049,0.0859,0.554,2.3.0,0.235
REAL009,77.79,23.88,0.0,64.88,77.712,26.51,5.22,73.35,23.67,4.56,75.45,-0.078,,2026-08-09,77.947,0.235,0.1725,0.0625,-0.078,2.3.0,0.313
REAL010,43.019,28.94,0.0,57.81,43.109,28.61,3.62,64.35,32.97,0.0,68.43,0.09,,2026-08-09,43.567,0.458,0.5044,0.0464,0.09,2.3.0,0.368
